Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-04-16	CCK Direct	5.9 5c 17 VI 17 HVS 5a PG13	Followed with the first pitch erect direction 	https://www.mountainproject.com/v/cck-direct/105801940	1	New York : The Gunks : The Trapps : h. The Arrow Wall - CCK	3.8	-1			Trad	
2017-04-16	Bonnie's Roof	5.9 5c 17 VI 17 HVS 5a	Followed, fun route 	https://www.mountainproject.com/v/bonnies-roof/105801433	1	New York : The Gunks : The Trapps : i. High E	3.8	-1			Trad	
2017-04-16	Erect Direction	5.10c 6b 20 VII 20 E2 5b	Followed first pitch	https://www.mountainproject.com/v/erect-direction/105799041	1	New York : The Gunks : The Trapps : h. The Arrow Wall - CCK	3.7	-1			Trad	
2017-04-02	Modern Times	5.8+ 5b 16 VI- 15 HVS 4c	Followed, wet at the crux move but still really fun	https://www.mountainproject.com/v/modern-times/105799085	2	New York : The Gunks : The Trapps : h. The Arrow Wall - CCK	3.6	-1			Trad	
2017-04-02	High Exposure	5.6 4c 14 V 12 S 4b		https://www.mountainproject.com/v/high-exposure/105798994	2	New York : The Gunks : The Trapps : i. High E	3.8	-1			Trad	
2017-04-02	Directissima	5.9 5c 17 VI 17 HVS 5a	Fun route, first pitch has some nice balancey parts	https://www.mountainproject.com/v/directissima/105799563	2	New York : The Gunks : The Trapps : i. High E	3.7	-1			Trad	
2017-03-27	 Murano	5.10c 6b 20 VII 20 E2 5b	TR'ed, fun route	https://www.mountainproject.com/v/-murano/106125082	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : The Gallery	2.7	-1			Sport	
2017-03-27	27 Years of Climbing	5.8 5b 16 VI- 15 HVS 4c	Led, probably best 5.8 I've done	https://www.mountainproject.com/v/27-years-of-climbing/106125099	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : The Gallery	3.5	-1			Sport	
2017-03-27	A Brief History of Climb	5.10b 6a+ 19 VII- 19 E2 5b	TR'ed, some epic rests	https://www.mountainproject.com/v/a-brief-history-of-climb/106125070	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : The Gallery	3.7	-1			Sport	
2017-03-27	Johnny B. Good	5.11a 6c 22 VII+ 22 E3 5c	TR'ed, cool roof finish	https://www.mountainproject.com/v/johnny-b-good/106154626	1	Kentucky : Red River Gorge : Pendergrass-Murray Recreati... : The Gallery	3.3	-1			Sport	
